Bodemfauna in Noordzee; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________
 ;Trend in;Trendklasse gehele periode;Trendklasse laatste 10 jaar;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________
; ; ; ;Index (basisjaar=100); ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Nemertea-overige ringwormen;populatie-aantal;Matige afname;Onzeker;100;71;111;95;103;50;72;69;75;40;38;45;27;16;28;51;37;56;93;45;;39;;;45
Branchiostoma-schedellozen-lancetvisje;populatie-aantal;Onzeker;Onzeker;100;361;124;6;0;0;9;0;107;57;57;57;81;48;57;0;8;0;8;0;;0;;;0
Cylichna-slakken-valse oubliehoren;populatie-aantal;Stabiel;Onzeker;100;88;212;104;80;86;94;104;86;51;55;92;110;146;120;96;102;80;94;87;;77;;;76
Euspira-slakken-gewone-glanzende tepelhoren;populatie-aantal;Matige afname;Onzeker;100;110;99;161;95;125;101;44;59;72;83;92;76;175;110;65;57;65;36;28;;78;;;39
Hyala-slakken-doorschijnend spiraalhoorntje;populatie-aantal;Matige afname;Onzeker;100;81;225;745;96;121;76;30;57;26;65;20;47;81;45;61;69;21;17;15;;38;;;92
Turritella-ontwikkelde slakken-penhoren;populatie-aantal;Onzeker;Onzeker;100;50;33;13;0;15;0;45;69;26;0;144;26;52;26;92;261;118;13;39;;78;;;183
Abra-tweekleppigen-witte-prismatische dunschaal;populatie-aantal;Matige afname;Onzeker;100;2;7;98;18;4;4;9;8;7;23;2;11;3;9;5;3;9;6;3;;6;;;3
Arctica-tweekleppigen-noordkromp;populatie-aantal;Onzeker;Onzeker;100;124;262;1621;1587;399;5157;529;3062;1738;1390;0;0;0;811;116;695;348;1043;348;;1159;;;348
Chamelea-tweekleppigen-venusschelp;populatie-aantal;Stabiel;Sterke toename;100;36;14;23;10;31;65;15;23;55;60;25;60;14;31;18;18;46;8;26;;34;;;66
Corbula-tweekleppigen-korfschelp;populatie-aantal;Matige toename;Onzeker;100;9;6;45;24;196;64;6;92;117;249;178;205;156;139;309;93;485;154;101;;216;;;226
Dosinia-tweekleppigen-dichtgestreepte artemisschelp;populatie-aantal;Stabiel;Onzeker;100;27;45;146;67;164;96;44;33;104;123;155;117;207;136;162;52;110;52;84;;78;;;97
Kurtiella-tweekleppigen-tweetandschelp;populatie-aantal;Sterke afname;Onzeker;100;72;85;58;55;25;13;12;10;11;19;31;15;28;25;12;6;9;6;7;;6;;;5
Mysia-tweekleppigen-zandschelp;populatie-aantal;Onzeker;Onzeker;100;82;20;39;178;59;59;0;72;17;225;312;173;243;104;87;35;69;52;17;;52;;;121
Nucula-tweekleppigen-driehoekige-ovale parelmoerneut;populatie-aantal;Sterke toename;Stabiel;100;131;131;109;101;79;153;84;157;134;218;304;206;362;265;302;341;433;428;343;;370;;;323
Phaxas-tweekleppigen-sabelschede;populatie-aantal;Matige afname;Onzeker;100;650;200;570;1653;134;464;464;395;537;309;277;244;212;260;130;130;342;163;179;;163;;;293
Spisula-tweekleppigen-halfgeknotte-stevige-elliptische strandschelp;populatie-aantal;Matige afname;Onzeker;100;97;73;1568;95;60;95;35;30;23;39;21;21;34;39;31;13;23;18;13;;13;;;18
Tellimya-tweekleppigen-ovaal-dunschalig zeeklitschelpje;populatie-aantal;Matige toename;Onzeker;100;61;134;169;185;127;180;104;142;78;172;232;156;216;245;295;221;348;130;305;;144;;;203
Tellina-tweekleppigen-tere-rechtsgestreepte platschelp;populatie-aantal;Matige afname;Stabiel;100;78;102;146;251;96;59;167;87;83;143;186;128;85;105;134;60;83;98;90;;68;;;107
Thracia-tweekleppigen-papierschelpen;populatie-aantal;Matige toename;Onzeker;100;100;170;281;340;180;285;219;218;231;365;529;298;394;615;365;221;106;173;404;;375;;;269
Thyasira-tweekleppigen-golfschelpje;populatie-aantal;Matige toename;Onzeker;100;111;83;117;108;117;143;112;110;106;341;250;239;276;314;409;273;216;269;617;;303;;;337
Acrocnida-stekelhuidigen-ingegraven slangster;populatie-aantal;Matige afname;Onzeker;100;102;112;31;26;19;20;35;14;12;10;8;11;25;15;23;17;8;8;26;;18;;;9
Amphiura-stekelhuidigen-slangsterren;populatie-aantal;Matige afname;Matige afname;100;93;114;72;23;35;17;27;26;27;42;48;44;53;45;36;36;30;33;31;;30;;;14
Ophiura-stekelhuidigen-kleine-gewone slangster;populatie-aantal;Sterke afname;Matige toename;100;122;112;529;2043;1021;1689;1082;196;275;174;120;161;83;47;44;22;43;54;59;;26;;;290
Astropecten-zeesterren-kamster;populatie-aantal;Onzeker;Onzeker;100;200;50;53;94;189;472;189;89;41;248;0;166;41;83;124;41;0;124;83;;41;;;41
Brissopsis-stekelhuidigen-zee-egels;populatie-aantal;Onzeker;Onzeker;100;119;110;329;144;48;144;96;211;42;126;169;211;85;42;42;126;169;211;211;;126;;;252
Echinocardium-zee-egels-zeeklitten;populatie-aantal;Sterke afname;Onzeker;100;80;65;54;61;2;3;154;6;2;2;2;1;2;1;1;1;1;2;2;;2;;;2
Echinocyamus-zee-egels-zeeboontje;populatie-aantal;Matige afname;Onzeker;100;77;82;13;39;35;68;47;36;17;31;11;50;33;12;9;7;20;5;7;;16;;;21
_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________
Bron:;RWS; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Trendklasse:;Matig: <5% /jaar; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ;Sterk: >5% /jaar; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ;Stabiel: niet signifcant, maar zeker <5% /jaar; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ;Onzeker: niet signifcant, maar mogelijk >5% /jaar; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________;_____________________________
Referentiecode:;www.clo.nl/nl159501; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Indicatorcode:;1595_001g_clo; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Indicatorversie:;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
